iso_a3,name_long,var,year,value
AFG,Afghanistan,gcp,1990,89170020.29347827
AFG,Afghanistan,gcp,1995,67459916.19714963
AFG,Afghanistan,gcp,2000,71941321.27802074
AFG,Afghanistan,gcp,2005,110865950.96296297
AFG,Afghanistan,gcp,NA,248020739.53374234
AFG,Afghanistan,pop,1990,2097262670.6956522
AFG,Afghanistan,pop,1995,2779843702.771739
AFG,Afghanistan,pop,2000,2880757784.3152175
AFG,Afghanistan,pop,2005,3317452095.6413045
AGO,Angola,gcp,1990,31540572.21398894
AGO,Angola,gcp,1995,27521890.531099733
AGO,Angola,gcp,2000,37121851.65352419
AGO,Angola,gcp,2005,66245495.889461525
AGO,Angola,gcp,NA,217167159.8790204
AGO,Angola,pop,1990,3095812481.801587
AGO,Angola,pop,1995,3212751745.325397
AGO,Angola,pop,2000,2931641902.7222223
AGO,Angola,pop,2005,3183530241.269841
ALB,Albania,gcp,1990,388664980.1111111
ALB,Albania,gcp,1995,235622116
ALB,Albania,gcp,2000,297376827.1111111
ALB,Albania,gcp,2005,238896929.85714287
ALB,Albania,gcp,NA,1370254203.8125
ALB,Albania,pop,1990,3676174378.111111
ALB,Albania,pop,1995,3803761790.888889
ALB,Albania,pop,2000,4321283482.888889
ALB,Albania,pop,2005,3114838743.4444447
ARE,United Arab Emirates,gcp,1990,1685741458.2
ARE,United Arab Emirates,gcp,1995,1954738368.8
ARE,United Arab Emirates,gcp,2000,2451104752.1
ARE,United Arab Emirates,gcp,2005,2668169422.4
ARE,United Arab Emirates,gcp,NA,3184243096.939394
ARE,United Arab Emirates,pop,1990,2673390884.3
ARE,United Arab Emirates,pop,1995,4187745795.7
ARE,United Arab Emirates,pop,2000,4287397792.5
ARE,United Arab Emirates,pop,2005,2138934496
ARG,Argentina,gcp,1990,230644386.07490495
ARG,Argentina,gcp,1995,313649175.3553459
ARG,Argentina,gcp,2000,368750333.6352201
ARG,Argentina,gcp,2005,358435382.8522013
ARG,Argentina,gcp,NA,379170717.552673
ARG,Argentina,pop,1990,3565629358.2861633
ARG,Argentina,pop,1995,3540749991.927673
ARG,Argentina,pop,2000,3598879648.0031447
ARG,Argentina,pop,2005,3377728274.562893
ARM,Armenia,gcp,1990,614811564.625
ARM,Armenia,gcp,1995,66101399
ARM,Armenia,gcp,2000,105527117.5
ARM,Armenia,gcp,2005,416123562
ARM,Armenia,gcp,NA,932211781.3571428
ARM,Armenia,pop,1990,1947740777.375
ARM,Armenia,pop,1995,2470516445.875
ARM,Armenia,pop,2000,2216770934.25
ARM,Armenia,pop,2005,2559682245.375
ATA,Antarctica,pop,1990,0.13912744761250428
ATA,Antarctica,pop,1995,0.13912744761250428
ATA,Antarctica,pop,2000,0.13912744761250428
ATA,Antarctica,pop,2005,0.13912744761250428
ATF,French Southern and Antarctic Lands,pop,1990,140
ATF,French Southern and Antarctic Lands,pop,1995,140
ATF,French Southern and Antarctic Lands,pop,2000,140
ATF,French Southern and Antarctic Lands,pop,2005,140
AUS,Australia,gcp,1990,168072652.6162625
AUS,Australia,gcp,1995,156505868.64907277
AUS,Australia,gcp,2000,200334271.51212552
AUS,Australia,gcp,2005,218575429.08131242
AUS,Australia,gcp,NA,206544526.29243937
AUS,Australia,pop,1990,3411539243.828816
AUS,Australia,pop,1995,3291372341.3038516
AUS,Australia,pop,2000,3145451249.6034236
AUS,Australia,pop,2005,3110079432.211127
AUT,Austria,gcp,1990,2203308581.9259257
AUT,Austria,gcp,1995,2263914797.185185
AUT,Austria,gcp,2000,2319582950.111111
AUT,Austria,gcp,2005,1765178763.4444444
AUT,Austria,gcp,NA,2432051142.962963
AUT,Austria,pop,1990,3317665589.5185184
AUT,Austria,pop,1995,3200718788.740741
AUT,Austria,pop,2000,3302053101.111111
AUT,Austria,pop,2005,3412995909.3703704
AZE,Azerbaijan,gcp,1990,323053111.4
AZE,Azerbaijan,gcp,1995,200981744.14285713
AZE,Azerbaijan,gcp,2000,275546492.85714287
AZE,Azerbaijan,gcp,2005,333266705
AZE,Azerbaijan,gcp,NA,1135813338.689655
AZE,Azerbaijan,pop,1990,2578434238.3333335
AZE,Azerbaijan,pop,1995,3411694956
AZE,Azerbaijan,pop,2000,3814585505.266667
AZE,Azerbaijan,pop,2005,4637478088.733334
BDI,Burundi,gcp,1990,127441498.4
BDI,Burundi,gcp,1995,106581890.6
BDI,Burundi,gcp,2000,129611748.6
BDI,Burundi,gcp,2005,167809266
BDI,Burundi,gcp,NA,324184277.3
BDI,Burundi,pop,1990,7656308966.4
BDI,Burundi,pop,1995,1847356320.4
BDI,Burundi,pop,2000,3349486318.8
BDI,Burundi,pop,2005,1508307284
BEL,Belgium,gcp,1990,3982428128.3636365
BEL,Belgium,gcp,1995,3585837115.4545455
BEL,Belgium,gcp,2000,2730272753.909091
BEL,Belgium,gcp,2005,3672811759.181818
BEL,Belgium,gcp,NA,3126189521.818182
BEL,Belgium,pop,1990,4106004947.2727275
BEL,Belgium,pop,1995,3274520843.181818
BEL,Belgium,pop,2000,4334266219.090909
BEL,Belgium,pop,2005,3021942296.5454545
BEN,Benin,gcp,1990,28914437.943226
BEN,Benin,gcp,1995,39240046.9996025
BEN,Benin,gcp,2000,56628842.3173235
BEN,Benin,gcp,2005,63986975.7009465
BEN,Benin,gcp,NA,174747361.211242
BEN,Benin,pop,1990,1946480398.45
BEN,Benin,pop,1995,2664809904.05
BEN,Benin,pop,2000,3008758445.2
BEN,Benin,pop,2005,3788319396.25
BFA,Burkina Faso,gcp,1990,40812995.85823
BFA,Burkina Faso,gcp,1995,49249067.522387296
BFA,Burkina Faso,gcp,2000,69711297.39516433
BFA,Burkina Faso,gcp,2005,86787941.27404703
BFA,Burkina Faso,gcp,NA,218589255.8243243
BFA,Burkina Faso,pop,1990,3355138247.1621623
BFA,Burkina Faso,pop,1995,3200715065.918919
BFA,Burkina Faso,pop,2000,3444789032.135135
BFA,Burkina Faso,pop,2005,3870579694.5945945
BGD,Bangladesh,gcp,1990,1042609940.75
BGD,Bangladesh,gcp,1995,1346343286.9565217
BGD,Bangladesh,gcp,2000,1783566893.5652175
BGD,Bangladesh,gcp,2005,1666307415.4347825
BGD,Bangladesh,gcp,NA,2221964572.042105
BGD,Bangladesh,pop,1990,3874209622.375
BGD,Bangladesh,pop,1995,3732943532.7083335
BGD,Bangladesh,pop,2000,2786996667.125
BGD,Bangladesh,pop,2005,3462223919.75
BGR,Bulgaria,gcp,1990,656171614.2352941
BGR,Bulgaria,gcp,1995,754886912
BGR,Bulgaria,gcp,2000,694199939.117647
BGR,Bulgaria,gcp,2005,1016733008.117647
BGR,Bulgaria,gcp,NA,2100469266.4411764
BGR,Bulgaria,pop,1990,4617524578.117647
BGR,Bulgaria,pop,1995,4166559960.8235292
BGR,Bulgaria,pop,2000,4032219177.647059
BGR,Bulgaria,pop,2005,3205902023.352941
BHS,Bahamas,gcp,1990,2851643689
BHS,Bahamas,gcp,1995,2837999927
BHS,Bahamas,gcp,2000,390236181
BHS,Bahamas,gcp,NA,3177924184
BHS,Bahamas,pop,1990,147046531
BHS,Bahamas,pop,1995,1615759921
BHS,Bahamas,pop,2000,1862435546
BHS,Bahamas,pop,2005,2040981867
BIH,Bosnia and Herzegovina,gcp,1990,550442599.4117647
BIH,Bosnia and Herzegovina,gcp,1995,466828755
BIH,Bosnia and Herzegovina,gcp,2000,419853794
BIH,Bosnia and Herzegovina,gcp,2005,874407568
BIH,Bosnia and Herzegovina,gcp,NA,1604637737.419355
BIH,Bosnia and Herzegovina,pop,1990,4604912809.941176
BIH,Bosnia and Herzegovina,pop,1995,4190505496.2941175
BIH,Bosnia and Herzegovina,pop,2000,3971423517.352941
BIH,Bosnia and Herzegovina,pop,2005,4340933217.6470585
BLR,Belarus,gcp,1990,432680059.61904764
BLR,Belarus,gcp,1995,293182474.5714286
BLR,Belarus,gcp,2000,332877790
BLR,Belarus,gcp,2005,458408617.5714286
BLR,Belarus,gcp,NA,1175890210.1607144
BLR,Belarus,pop,1990,3626395615.095238
BLR,Belarus,pop,1995,3259601587.214286
BLR,Belarus,pop,2000,3452123096.428571
BLR,Belarus,pop,2005,3270370284.3095236
BLZ,Belize,gcp,1990,127144183
BLZ,Belize,gcp,1995,168202104
BLZ,Belize,gcp,2000,226524582
BLZ,Belize,gcp,2005,294418540.6666667
BLZ,Belize,gcp,NA,301931488.5
BLZ,Belize,pop,1990,3942239184.3333335
BLZ,Belize,pop,1995,2443941471
BLZ,Belize,pop,2000,2819439793.3333335
BLZ,Belize,pop,2005,3266682702.6666665
BOL,Bolivia,gcp,1990,58914407.436974786
BOL,Bolivia,gcp,1995,67455224.66386555
BOL,Bolivia,gcp,2000,76748041.42016807
BOL,Bolivia,gcp,2005,106589233.91596639
BOL,Bolivia,gcp,NA,219265580.80252102
BOL,Bolivia,pop,1990,3529580497.7310925
BOL,Bolivia,pop,1995,3565094208.9915967
BOL,Bolivia,pop,2000,3827971700.134454
BOL,Bolivia,pop,2005,3319237509.327731
BRA,Brazil,gcp,1990,365684463.91822815
BRA,Brazil,gcp,1995,386846673.0545314
BRA,Brazil,gcp,2000,449313327.0892264
BRA,Brazil,gcp,2005,480964210.4475892
BRA,Brazil,gcp,NA,624348038.8517327
BRA,Brazil,pop,1990,3654401711.9290495
BRA,Brazil,pop,1995,3629367024.381526
BRA,Brazil,pop,2000,3519882369.763052
BRA,Brazil,pop,2005,3634757446.848728
BRN,Brunei Darussalam,gcp,1990,368910799.5
BRN,Brunei Darussalam,gcp,1995,19403950.5
BRN,Brunei Darussalam,gcp,2000,660728900
BRN,Brunei Darussalam,gcp,2005,256454929.5
BRN,Brunei Darussalam,gcp,NA,1333852773.375
BRN,Brunei Darussalam,pop,1990,856449054
BRN,Brunei Darussalam,pop,1995,1644143183.5
BRN,Brunei Darussalam,pop,2000,1903379615
BRN,Brunei Darussalam,pop,2005,2152611797
BTN,Bhutan,gcp,1990,22788729.636363637
BTN,Bhutan,gcp,1995,22532015.272727273
BTN,Bhutan,gcp,2000,38268270.09090909
BTN,Bhutan,gcp,2005,54972874.63636363
BTN,Bhutan,gcp,NA,104955298.61363636
BTN,Bhutan,pop,1990,4507345389.363636
BTN,Bhutan,pop,1995,2714547499.5454545
BTN,Bhutan,pop,2000,2516656422.5454545
BTN,Bhutan,pop,2005,3199551589.2727275
BWA,Botswana,gcp,1990,38563262.220614895
