country.x,dataset_key.x,dataset_party_id.x,name_short.x,name.x,name_english.x,year_first.x,year_last.x,share.x,share_year.x,description.x,comment.x,created.x,modified.x,external_id.x,partyfacts_id,linked.x,country.y,dataset_key.y,dataset_party_id.y,name_short.y,name.y,name_english.y,year_first.y,year_last.y,share.y,share_year.y,description.y,comment.y,created.y,modified.y,external_id.y,linked.y
AUS,manifesto,63321,AD,Australian Democrats,Australian Democrats,1990,2001,11.3,1990,NA,NA,2013-01-01T18:16:18Z,2023-06-05T10:39:54Z,1414,990,2013-01-01T18:33:19Z,AUS,parlgov,120,AD,Australian Democrats,Australian Democrats,1977,2004,11.3,1990,NA,NA,2012-12-30T23:35:45Z,2024-08-13T10:52:04Z,463,2012-12-30T23:40:39Z
AUS,manifesto,63110,NA,Australian Greens,Australian Greens,2004,2019,11.8,2010,NA,NA,2014-02-08T21:29:20Z,2023-06-05T10:39:39Z,3763,1209,2014-02-09T14:06:39Z,AUS,parlgov,751,AG,Australian Greens,Australian Greens,1990,2022,12.2,2022,NA,NA,2012-12-30T23:38:33Z,2024-08-13T10:51:59Z,1270,2012-12-30T23:40:39Z
AUS,manifesto,63320,ALP,Australian Labor Party,Australian Labor Party,1946,2019,50,1954,NA,NA,2013-01-01T18:18:19Z,2023-06-05T10:39:43Z,1980,424,2013-01-01T18:33:19Z,AUS,parlgov,1253,ALP,Australian Labor Party,Australian Labor Party,1901,2022,50.9,1914,NA,NA,2012-12-30T23:36:04Z,2024-08-13T10:52:02Z,557,2012-12-30T23:40:40Z
AUS,manifesto,63901,NXT,Centre Alliance,Centre Alliance,2016,2019,1.8,2016,NA,NA,2019-01-22T16:59:52Z,2023-06-05T10:39:45Z,29061,5453,2019-01-22T16:59:52Z,AUS,parlgov,2630,NXT,Nick Xenophon Team,Nick Xenophon Team,2016,2022,1.9,2016,NA,NA,2017-01-08T15:50:02Z,2024-08-13T10:52:09Z,18084,2017-01-16T12:48:23Z
AUS,manifesto,63622,CLP,Country Liberal Party,Country Liberal Party,2013,2013,0.3,2013,NA,NA,2015-11-17T11:43:40Z,2023-06-05T10:39:52Z,15499,143,2015-11-17T11:46:07Z,AUS,parlgov,215,CouLP,Country Liberal Party,Country Liberal Party,1975,2013,0.4,1996,NA,NA,2012-12-30T23:35:12Z,2024-08-13T10:51:53Z,292,2012-12-30T23:40:42Z
AUS,manifesto,63330,DLP,Democratic Labor Party,Democratic Labor Party,1955,1977,7.8,1958,NA,NA,2013-01-01T18:18:28Z,2023-06-05T10:39:54Z,2027,1540,2013-01-01T18:33:20Z,AUS,parlgov,1306,DLP,Democratic Labour Party,Democratic Labour Party,1955,1977,9.4,1958,NA,NA,2012-12-30T23:34:30Z,2024-08-13T10:52:05Z,62,2012-12-30T23:40:43Z
AUS,manifesto,63710,KAT,Katter's Australian Party,Katter's Australian Party,2013,2019,1,2013,NA,NA,2015-11-17T11:43:39Z,2023-06-05T10:39:59Z,15496,1997,2015-11-17T11:46:06Z,AUS,parlgov,2258,Katter,Katter's Australian Party,Katter's Australian Party,2013,2022,1,2013,NA,NA,2014-02-08T21:29:48Z,2024-08-13T10:51:54Z,3867,2014-02-10T08:51:55Z
AUS,manifesto,63621,LNP,Liberal National Party of Queensland,Liberal National Party of Queensland,2010,2019,9.1,2010,NA,NA,2014-02-08T21:29:14Z,2023-06-05T10:39:43Z,3668,285,2014-02-09T14:06:52Z,AUS,parlgov,154,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,2010,2022,9.1,2010,NA,NA,2012-12-30T23:38:29Z,2024-08-13T10:52:05Z,1251,2012-12-30T23:40:48Z
AUS,manifesto,63620,LPA,Liberal Party of Australia,Liberal Party of Australia,1946,2019,41.8,1975,NA,NA,2013-01-01T18:17:52Z,2023-06-05T10:40:03Z,1851,486,2013-01-01T18:33:21Z,AUS,parlgov,1411,LPA,Liberal Party of Australia,Liberal Party of Australia,1946,2022,41.8,1975,NA,NA,2012-12-30T23:36:52Z,2024-08-13T10:51:53Z,777,2012-12-30T23:40:48Z
AUS,manifesto,63810,NPA,National Party of Australia,National Party of Australia,1946,2019,11.5,1987,NA,NA,2013-01-01T18:17:48Z,2023-06-05T10:39:57Z,1831,1743,2013-01-01T18:33:20Z,AUS,parlgov,184,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,1919,2022,12.6,1922,NA,NA,2012-12-30T23:38:42Z,2024-08-13T10:51:53Z,1312,2012-12-30T23:40:49Z
